sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
3301,2.33857128582895,0,0.0332814498967491,0,0.0726756134303287,0,9,0.97461533662863,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0611668888945134,0,0,0.0313570449431426,0,0,-2029.31231713609,-1367.12892851895,-662.183388617137
3401,2.33857128582895,0,0.0326351825543679,0,0.0723347355378792,0,9,0.91404406633228,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0532639828044922,0,0,0.011970638630446,0,0,-1960.0226599381,-1355.83860890774,-604.184051030355
3501,2.33857128582895,0,0.0326351825543679,0,0.0723347355378792,0,9,0.91404406633228,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0564749826444314,0,0,0.0278941511106678,0,0,-1984.57102463093,-1354.47689265825,-630.094131972678
3601,2.34450491294265,0,0.0326901786425151,0,0.0723347355378792,0,9,0.91404406633228,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0564749826444314,0,0,0.0312138205696828,0,0,-1962.79728911009,-1349.37235350629,-613.424935603793
3701,2.31595894601196,0,0.0307916801818646,0,0.0723347355378792,0,9,0.91404406633228,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0648658669553698,0,0,0.0312138205696828,0,0,-2023.37303194855,-1380.81837993926,-642.554652009287
3801,2.38036113921553,0,0.0375226557650603,0,0.0723347355378792,0,9,0.91404406633228,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.058187595405616,0,0,0.0312138205696828,0,0,-1987.52178239844,-1352.83339914635,-634.688383252089
3901,2.37822373956442,0,0.0375226557650603,0,0.0723347355378792,0,9,0.943700274103321,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.058187595405616,0,0,0.0365226059150882,0,0,-2023.98759628737,-1375.87602177704,-648.111574510322
4001,2.4153157055378,0,0.0393832045071758,0,0.0723347355378792,0,9,0.943700274103321,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.060504850652069,0,0,0.0365226059150882,0,0,-1990.21709137593,-1354.81743349567,-635.399657880259
4101,2.42170819714665,0,0.0393832045071758,0,0.0723347355378792,0,9,0.852630835608579,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.060504850652069,0,0,0.0260380341834389,0,0,-1965.51248409811,-1350.66142788173,-614.851056216387
4201,2.44004138987511,0,0.0393832045071758,0,0.0739276381675154,0,9,0.895637697423808,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.055212762230076,0,0,0.0309101038775407,0,0,-2011.76182837122,-1344.78903480418,-666.972793567032
4301,2.44004138987511,0,0.0393832045071758,0,0.0739276381675154,0,9,0.895637697423808,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0530533963348718,0,0,0.0146596916089765,0,0,-1987.73597237221,-1361.3873555951,-626.348616777111
4401,2.39398443102837,0,0.0393832045071758,0,0.0739276381675154,0,9,0.895637697423808,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0571854831185193,0,0,0.0221410377346911,0,0,-1983.18371202868,-1335.0174329758,-648.166279052878
4501,2.39398443102837,0,0.0393832045071758,0,0.0739276381675154,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0548508625477554,0,0,0.0198334804666229,0,0,-1979.5244564429,-1322.45012537888,-657.07433106402
4601,2.44183378703892,0,0.0393832045071758,0,0.0758854840649292,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0548508625477554,0,0,0.0176408170559443,0,0,-1976.9304171263,-1314.79008645524,-662.140330671059
4701,2.44183378703892,0,0.0393832045071758,0,0.0758854840649292,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0528949558734895,0,0,0.00936016081133861,0,0,-1985.45615124821,-1321.78962251477,-663.666528733444
4801,2.44183378703892,0,0.0393832045071758,0,0.075753243197687,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0528949558734895,0,0,0.0119794405833818,0,0,-1968.80552580372,-1305.25674348717,-663.548782316544
4901,2.42627852018923,0,0.0393832045071758,0,0.075753243197687,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0530689628096299,0,0,0.00995195183670152,0,0,-1956.38564265336,-1309.50425372012,-646.881388933243
5001,2.47054241169244,0,0.041255204861518,0,0.0761993387946859,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.051881981524639,0,0,0.00857135104713958,0,0,-1998.3537147355,-1320.58234954101,-677.771365194485
5101,2.47054241169244,0,0.041255204861518,0,0.0761993387946859,0,9,0.8472523575183,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0555791490944104,0,0,0.0200304794660769,0,0,-1964.88172667756,-1307.82461055355,-657.057116124007
