sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
7101,2.90743753692984,0,0.0709813063285,0,0.0650211123171768,0,9,0.996721633467296,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2063.41717312044,-1402.9991167609,-660.418056359536
7201,2.69296915728018,0,0.0670551023112313,0,0.0608097638101307,0,9,0.967708626847969,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2077.4682562838,-1411.49167550575,-665.976580778053
7301,2.99939045335884,0,0.0759859146744911,0,0.065950775117017,0,9,0.975831288579623,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2049.61922111628,-1390.03651347838,-659.582707637901
7401,2.96817011263413,0,0.0723599110342977,0,0.0673224674205718,0,9,0.947326182964099,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2059.32388113425,-1393.22677624737,-666.097104886882
7501,2.67404875727303,0,0.0654220451240841,0,0.0622449040344723,0,9,1.00015753814636,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2070.14508013255,-1394.33312683796,-675.811953294589
7601,2.62857799509866,0,0.0694456553622504,0,0.0611936003744388,0,9,0.94801281679862,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2078.69577328012,-1393.0293383446,-685.666434935516
7701,2.61375144026518,0,0.0659849076712542,0,0.0615320562245565,0,9,0.996316932442649,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2075.77588507159,-1396.20463841006,-679.571246661528
7801,2.70625695377763,0,0.0684308615285171,0,0.0626364026404341,0,9,0.918247567828142,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2078.55200885701,-1399.7224956929,-678.829513164109
7901,2.62995510464783,0,0.0657495307472202,0,0.0615011104596441,0,9,0.964710492482507,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2081.46384785438,-1398.05726623941,-683.406581614968
8001,2.64329755908907,0,0.070056894487929,0,0.0629860927686327,0,9,0.98083622443876,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2067.85571993728,-1397.8916992841,-669.964020653176
