sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
37001,2.72117392900102,0,0.2941189417505,0,0.041163227552832,0,9,1.4519134441027,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.521190838941338,1,0,-2394.44081676259,-1799.93465847878,-594.506158283812
37101,2.67039007226927,0,0.288189079722594,0,0.0406769108956849,0,9,1.44545856601092,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.485154944340714,1,0,-2465.79359993499,-1773.78251354447,-692.01108639052
37201,3.1328183666185,0,0.351039432286875,0,0.0397637064142203,0,9,1.46589585135117,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.448098645236145,1,0,-2475.88698266621,-1777.62026889142,-698.266713774788
37301,3.08961749691916,0,0.357730659953459,0,0.0400780708135749,0,9,1.51103794135394,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.435404600095972,1,0,-2517.3269757409,-1793.17836745697,-724.14860828393
37401,2.98399085235949,0,0.350258545464213,0,0.0393252981485747,0,9,1.47727687600757,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.461306127095399,1,0,-2609.34478304545,-1803.64377294141,-805.701010104046
37501,3.09457914068161,0,0.362387901026169,0,0.0419082189687452,0,9,1.48163298663264,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.463077654674672,1,0,-2495.33015144541,-1801.61216464031,-693.717986805096
37601,3.16124914829606,0,0.345634338956085,0,0.0417877811571883,0,9,1.45069627688975,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.463338632130486,1,0,-2474.18997824161,-1773.06678945787,-701.12318878374
37701,3.13733843647943,0,0.339588725189659,0,0.0419705988154333,0,9,1.41925236982433,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.475331453581545,1,0,-2452.51498285016,-1786.81169802139,-665.703284828769
37801,3.44531306794356,0,0.512201080888058,0,0.0248395728830127,0,9,1.69875852350245,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.961034996626483,1,0,-2768.91611457798,-1942.57166946347,-826.344445114505
37901,3.06560155552001,0,0.337027907432431,0,0.0411419113008216,0,9,1.45092037577418,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.509428688189367,1,0,-2409.06995391203,-1778.6515435353,-630.41841037673
38001,2.33795539433046,0,0.224899717700247,0,0.0389580274320393,0,9,1.53620466354921,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.75254907989593,1,0,-2516.32116720698,-1831.12754240421,-685.193624802773
38101,2.40854708675095,0,0.225125413229499,0,0.0404364393809868,0,9,1.57679895990105,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.70550207770821,1,0,-2528.05556021392,-1832.57554417209,-695.480016041825
38201,2.54536731855948,0,0.238775448833145,0,0.0432859406641292,0,9,1.51520546756018,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.672353678930096,1,0,-2510.79129585454,-1859.11918243879,-651.672113415752
38301,2.99813474915377,0,0.340693848089644,0,0.0398150552765963,0,9,1.50925741358822,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.535801477122499,1,0,-2425.48523642138,-1796.7177756278,-628.767460793578
38401,3.00985538927788,0,0.34033423937341,0,0.0412924868895696,0,9,1.49076469194718,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.522719248051553,1,0,-2473.11540005566,-1854.78660673172,-618.328793323941
38501,2.7950002311943,0,0.78606503724922,0,0.00530665608277317,0,9,1.84902936519131,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.603078183543931,1,0,-2710.97004953017,-2074.96371336846,-636.006336161711
38601,3.16401568775527,0,0.400237764499447,0,0.0379251865023004,0,9,1.5219413210436,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.493145965008994,1,0,-2429.72827173832,-1801.69862219718,-628.029649541139
38701,3.36983687382264,0,0.397370897642828,0,0.0397688024715361,0,9,1.39720555587105,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.485337992757204,1,0,-2394.18792211169,-1773.31429724647,-620.873624865225
38801,2.208295379091,0,0.221613515870882,0,0.0387189716972499,0,9,1.54985209454606,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.566007072527697,1,0,-2546.16850166821,-1800.24824720076,-745.920254467451
38901,2.36696457739206,0,0.224263229218812,0,0.0427302547888117,0,9,1.48741281839958,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.532927880672798,1,0,-2620.28677156257,-1899.89864126621,-720.388130296368
39001,3.30023230812671,0,0.36980123412999,0,0.0428817723951207,0,9,1.43823499147921,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.471210936540682,1,0,-2463.66259796748,-1773.08084926868,-690.581748698801
39101,3.25027254139804,0,0.348455116123972,0,0.0427560659123392,0,9,1.39096256919175,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.522980654861291,1,0,-2365.96514665229,-1790.13638583533,-575.82876081696
39201,3.38903167331238,0,0.354329573926169,0,0.0429477893713263,0,9,1.50873983056579,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.571527777020288,1,0,-2368.91371207814,-1777.14830562662,-591.765406451515
39301,3.29519197711828,0,0.340253231537727,0,0.0433682347696592,0,9,1.53636971324797,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.490678513090098,1,0,-2449.01161866043,-1768.4327507838,-680.578867876631
39401,3.03133940832577,0,0.327046841348954,0,0.0408839509197442,0,9,1.38046734579176,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.474796709255072,1,0,-2484.54012991787,-1762.50266251221,-722.037467405657
39501,3.10408713950668,0,0.368556143577161,0,0.0405375249559282,0,9,1.4552943084437,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.452453530935052,1,0,-2438.613797515,-1772.5266186828,-666.087178832199
39601,2.93882792352568,0,0.658054778809277,0,0.019101457812995,0,9,1.65773836048322,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.382619653334524,1,0,-2545.61363017968,-1930.86819545876,-614.745434720919
39701,3.29162852346959,0,0.375601215071495,0,0.0414305179442682,0,9,1.37512678068251,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.466745732712739,1,0,-2704.89939208377,-1819.44753546002,-885.451856623753
39801,3.28346996238547,0,0.381497569806957,0,0.0405161118154577,0,9,1.48165162938297,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.508057818680443,1,0,-2562.88052776728,-1794.61237180086,-768.268155966421
39901,3.07413384079126,0,0.370011115994265,0,0.0382564212465244,0,9,1.65484271843103,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.537327098859041,1,0,-2476.91665155042,-1844.49666526638,-632.419986284035
40001,2.74174073228695,0,0.275646132463471,0,0.0410940464997822,0,9,1.3966223395029,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.574298225087628,1,0,-2493.41815728475,-1781.04256273416,-712.375594550596
40101,3.23682868556786,0,0.367970301098041,0,0.0385855314917841,0,9,1.41345450579618,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.551248474849023,1,0,-2407.98562839607,-1783.52739997204,-624.458228424029
40201,2.88494255653976,0,0.320022042401521,0,0.037465922657957,0,9,1.50398960808328,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.550032982231412,1,0,-2631.97949050183,-1834.36242544543,-797.617065056396
40301,2.6455646049862,0,0.301426058483748,0,0.0374129998485356,0,9,1.59462349601501,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.528672503080727,1,0,-2640.51853908568,-1886.33197965376,-754.186559431911
